code,name,gender,country_long,nationality_long,birth_date
1918677,MIYAURA Kento,Male,Japan,Japan,22/02/1999
1918678,KOJIMA Manami,Female,Japan,Japan,07/11/1994
1918679,FUKUDOME Satomi,Female,Japan,Japan,23/11/1997
1918683,MORIYA Akane,Female,Japan,Japan,08/01/1991
1918689,YAMADA Nichika,Female,Japan,Japan,24/02/2000
1918691,ISHIKAWA Mayu,Female,Japan,Japan,14/05/2000
1918694,HAYASHI Kotona,Female,Japan,Japan,13/11/1999
1918698,NISHIDA Sarina,Female,Japan,Japan,21/05/1996
1918700,YAMAMOTO Tomohiro,Male,Japan,Japan,05/11/1994
1918706,ISHIKAWA Yuki,Male,Japan,Japan,11/12/1995
1918708,ONODERA Taishi,Male,Japan,Japan,27/02/1996
1918710,YAMAUCHI Akihiro,Male,Japan,Japan,30/11/1993
1918712,NISHIDA Yuji,Male,Japan,Japan,30/01/2000
1918714,SEKITA Masahiro,Male,Japan,Japan,20/11/1993
1918759,BROWN Georgia-Rose,Female,New Zealand,New Zealand,22/01/1995
1918789,YAN Langyu,Male,People's Republic of China,People's Republic of China,31/08/1999
1918790,WANG Zisai,Male,People's Republic of China,People's Republic of China,18/06/2006
1918799,ZHU Xueying,Female,People's Republic of China,People's Republic of China,02/03/1998
1918800,HU Yicheng,Female,People's Republic of China,People's Republic of China,13/11/1998
1918831,SUKPRASERT Komet,Male,Thailand,Thailand,12/06/2000
1918832,DAWSON Erica,Female,New Zealand,New Zealand,24/07/1994
1918833,McHARDIE Isaac,Male,New Zealand,New Zealand,06/07/1997
1918834,McKENZIE William,Male,New Zealand,New Zealand,19/02/1997
1918835,WILKINSON Micah,Male,New Zealand,New Zealand,06/02/1996
1918836,PILKINGTON Greta,Female,New Zealand,New Zealand,28/02/2003
1918838,ALEH Jo,Female,New Zealand,New Zealand,15/05/1986
1918840,MEECH Molly,Female,New Zealand,New Zealand,31/03/1993
1918842,WALTON-KEIM Lukas,Male,New Zealand,New Zealand,22/04/1996
1918845,TEN HAVE Veerle,Female,New Zealand,New Zealand,24/12/2000
1918846,ARMIT Josh,Male,New Zealand,New Zealand,05/12/2001
1918849,KITCHEN Justina,Female,New Zealand,New Zealand,11/04/1989
1918850,SAUNDERS Thomas,Male,New Zealand,New Zealand,16/07/1992
