"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Bronze ","2024-08-03","Brazil","Judo","Mixed Team","Brazil"
"Gold ","2024-08-10","Althea LAURIN","Taekwondo","Women +67kg","France"
"Silver ","2024-08-10","Svetlana OSIPOVA","Taekwondo","Women +67kg","Uzbekistan"
"Gold ","2024-08-10","Spain","Water Polo","Women","Spain"
"Bronze ","2024-08-10","LEE Dabin","Taekwondo","Women +67kg","Republic of Korea"
"Bronze ","2024-08-10","Nafia KUS AYDIN","Taekwondo","Women +67kg","Türkiye"
"Bronze ","2024-08-10","Netherlands","Water Polo","Women","Netherlands"
"Bronze ","2024-08-10","Gor MINASYAN","Weightlifting","Men's +102kg","Bahrain"
"Gold ","2024-08-10","LIU Huanhua","Weightlifting","Men's 102kg","People's Republic of China"
"Silver ","2024-08-10","Akbar DJURAEV","Weightlifting","Men's 102kg","Uzbekistan"
"Bronze ","2024-08-10","Yauheni TSIKHANTSOU","Weightlifting","Men's 102kg","AIN"
"Gold ","2024-08-10","Solfrid Eila Amena KOANDA","Weightlifting","Women's 81kg","Norway"
"Silver ","2024-08-10","Sara AHMED","Weightlifting","Women's 81kg","Egypt"
"Silver ","2024-08-11","Tigst ASSEFA","Athletics","Women's Marathon","Ethiopia"
"Bronze ","2024-08-11","Hellen OBIRI","Athletics","Women's Marathon","Kenya"
"Gold ","2024-08-11","United States","Basketball","Women","United States of America"
"Bronze ","2024-08-10","MOL/SORUM","Beach Volleyball","Men","Norway"
"Bronze ","2024-08-06","Sky BROWN","Skateboarding","Women's Park","Great Britain"
"Gold ","2024-08-06","Mijain LOPEZ NUNEZ","Wrestling","Men's Greco-Roman 130kg","Cuba"
"Silver ","2024-07-28","Lauren SCRUGGS","Fencing","Women's Foil Individual","United States of America"
"Gold ","2024-07-29","Thomas CECCON","Swimming","Men's 100m Backstroke","Italy"
"Silver ","2024-07-29","XU Jiayu","Swimming","Men's 100m Backstroke","People's Republic of China"
"Bronze ","2024-07-29","Ryan MURPHY","Swimming","Men's 100m Backstroke","United States of America"
"Silver ","2024-07-29","Jagger EATON","Skateboarding","Men's Street","United States of America"
"Bronze ","2024-07-27","Luigi SAMELE","Fencing","Men's Sabre Individual","Italy"
"Bronze ","2024-08-10","Serbia","Basketball","Men","Serbia"
"Silver ","2024-08-09","LUZAN/RYBACHOK","Canoe Sprint","Women's Canoe Double 500m","Ukraine"
"Bronze ","2024-08-09","MACKENZIE/VINCENT","Canoe Sprint","Women's Canoe Double 500m","Canada"
"Gold ","2024-08-09","CARRINGTON/HOSKIN","Canoe Sprint","Women's Kayak Double 500m","New Zealand"
"Bronze ","2024-08-09","PUPP/FOJT","Canoe Sprint","Women's Kayak Double 500m","Hungary"
"Gold ","2024-08-09","Harrie LAVREYSEN","Cycling Track","Men's Sprint","Netherlands"
"Silver ","2024-08-09","Matthew RICHARDSON","Cycling Track","Men's Sprint","Australia"
"Bronze ","2024-08-09","Jack CARLIN","Cycling Track","Men's Sprint","Great Britain"
"Silver ","2024-08-09","Great Britain","Cycling Track","Women's Madison","Great Britain"
"Gold ","2024-08-10","Lasha TALAKHADZE","Weightlifting","Men's +102kg","Georgia"
"Silver ","2024-08-10","Varazdat LALAYAN","Weightlifting","Men's +102kg","Armenia"
"Silver ","2024-07-29","France","Archery","Men's Team","France"
"Gold ","2024-08-03","Summer McINTOSH","Swimming","Women's 200m Individual Medley","Canada"
"Silver ","2024-07-28","Klaudia ZWOLINSKA","Canoe Slalom","Women's Kayak Single","Poland"
"Bronze ","2024-07-28","Kimberley WOODS","Canoe Slalom","Women's Kayak Single","Great Britain"
"Silver ","2024-08-10","DANY DANN","Breaking","B-Boys","France"
"Bronze ","2024-08-01","New Zealand","Rowing","Women's Four","New Zealand"
"Gold ","2024-07-29","Christa DEGUCHI","Judo","Women -57 kg","Canada"
"Gold ","2024-07-27","Lukas MAERTENS","Swimming","Men's 400m Freestyle","Germany"
"Gold ","2024-08-02","Ireland","Rowing","Lightweight Men's Double Sculls","Ireland"
"Silver ","2024-08-02","Italy","Rowing","Lightweight Men's Double Sculls","Italy"
"Silver ","2024-08-10","France","Basketball","Men","France"
"Silver ","2024-08-03","Shanieka RICKETTS","Athletics","Women's Triple Jump","Jamaica"
"Bronze ","2024-08-01","Ireland","Rowing","Men's Double Sculls","Ireland"
"Bronze ","2024-07-28","Larissa PIMENTA","Judo","Women -52 kg","Brazil"
"Silver ","2024-08-09","CSIPES/GAZSO","Canoe Sprint","Women's Kayak Double 500m","Hungary"
"Gold ","2024-08-02","Croatia","Rowing","Men's Pair","Croatia"
"Gold ","2024-08-04","Novak DJOKOVIC","Tennis","Men's Singles","Serbia"
"Silver ","2024-08-04","Carlos ALCARAZ","Tennis","Men's Singles","Spain"
"Bronze ","2024-08-05","Lithuania","3x3 Basketball","Men","Lithuania"
"Silver ","2024-08-04","Australia","Swimming","Women's 4 x 100m Medley Relay","Australia"
"Silver ","2024-07-27","Elijah WINNINGTON","Swimming","Men's 400m Freestyle","Australia"
"Bronze ","2024-07-30","Clarisse AGBEGNENOU","Judo","Women -63 kg","France"
"Gold ","2024-07-31","DENG Yawen","Cycling BMX Freestyle","Women's Park","People's Republic of China"
"Silver ","2024-07-31","Perris BENEGAS","Cycling BMX Freestyle","Women's Park","United States of America"
"Bronze ","2024-07-31","Natalya DIEHM","Cycling BMX Freestyle","Women's Park","Australia"
"Gold ","2024-08-06","Arisa TREW","Skateboarding","Women's Park","Australia"
"Silver ","2024-08-06","Yasmani ACOSTA FERNANDEZ","Wrestling","Men's Greco-Roman 130kg","Chile"
"Silver ","2024-08-10","Japan","Table Tennis","Women's Team","Japan"
"Bronze ","2024-08-06","Amin MIRZAZADEH","Wrestling","Men's Greco-Roman 130kg","Islamic Republic of Iran"
"Bronze ","2024-08-08","Alizadeh KIMIA","Taekwondo","Women -57kg","Bulgaria"
"Bronze ","2024-08-06","MENG Lingzhe","Wrestling","Men's Greco-Roman 130kg","People's Republic of China"
"Gold ","2024-08-06","FUMITA Kenichiro","Wrestling","Men's Greco-Roman 60kg","Japan"
"Silver ","2024-08-06","CAO Liguo","Wrestling","Men's Greco-Roman 60kg","People's Republic of China"
"Bronze ","2024-08-06","Zholaman SHARSHENBEKOV","Wrestling","Men's Greco-Roman 60kg","Kyrgyzstan"
"Bronze ","2024-08-06","RI Se Ung","Wrestling","Men's Greco-Roman 60kg","Democratic People's Republic of Korea"
"Bronze ","2024-07-27","KIM Woomin","Swimming","Men's 400m Freestyle","Republic of Korea"
"Gold ","2024-07-27","Australia","Swimming","Women's 4 x 100m Freestyle Relay","Australia"
"Bronze ","2024-08-01","Peter PALTCHIK","Judo","Men -100 kg","Israel"
"Bronze ","2024-07-28","Manu BHAKER","Shooting","10m Air Pistol Women","India"
"Gold ","2024-08-05","LI Yuehong","Shooting","25m Rapid Fire Pistol Men","People's Republic of China"
"Bronze ","2024-08-05","WANG Xinjie","Shooting","25m Rapid Fire Pistol Men","People's Republic of China"
"Gold ","2024-08-05","Italy 1","Shooting","Skeet Mixed Team","Italy"
"Gold ","2024-08-03","Markus ROOTH","Athletics","Men's Decathlon","Norway"
"Bronze ","2024-08-08","Osmar OLVERA IBARRA","Diving","Men's 3m Springboard","Mexico"
"Gold ","2024-08-08","Sharon van ROUWENDAAL","Marathon Swimming","Women's 10km","Netherlands"
"Bronze ","2024-08-10","Rafael ALBA","Taekwondo","Men +80kg","Cuba"
"Bronze ","2024-08-08","Spain","Canoe Sprint","Men's Kayak Four 500m","Spain"
"Gold ","2024-08-01","New Zealand","Rowing","Women's Double Sculls","New Zealand"
"Silver ","2024-08-01","Romania","Rowing","Women's Double Sculls","Romania"
"Bronze ","2024-08-01","Great Britain","Rowing","Women's Double Sculls","Great Britain"
"Gold ","2024-08-01","Netherlands","Rowing","Women's Four","Netherlands"
"Bronze ","2024-08-06","ZHAO Jie","Athletics","Women's Hammer Throw","People's Republic of China"
"Bronze ","2024-08-06","Omari JONES","Boxing","Men's 71kg","United States of America"
"Bronze ","2024-08-06","Lewis RICHARDSON","Boxing","Men's 71kg","Great Britain"
"Bronze ","2024-08-06","Nazym KYZAIBAY","Boxing","Women's 50kg","Kazakhstan"
"Bronze ","2024-08-06","Aira VILLEGAS","Boxing","Women's 50kg","Philippines"
"Gold ","2024-08-06","Kellie HARRINGTON","Boxing","Women's 60kg","Ireland"
"Silver ","2024-08-06","YANG Wenlu","Boxing","Women's 60kg","People's Republic of China"
"Bronze ","2024-08-06","Janjaem SUWANNAPHENG","Boxing","Women's 66kg","Thailand"
"Bronze ","2024-08-06","CHEN Nien Chin","Boxing","Women's 66kg","Chinese Taipei"
"Bronze ","2024-08-06","Australia","Cycling Track","Men's Team Sprint","Australia"
"Gold ","2024-08-11","Italy","Volleyball","Women","Italy"
"Gold ","2024-08-01","Alice BELLANDI","Judo","Women -78 kg","Italy"
"Bronze ","2024-08-04","Wyatt SANFORD","Boxing","Men's 63.5kg","Canada"
"Bronze ","2024-08-04","Lasha GURULI","Boxing","Men's 63.5kg","Georgia"
"Gold ","2024-08-03","Ukraine","Fencing","Women's Sabre Team","Ukraine"
"Bronze ","2024-08-04","Arlen LOPEZ CARDONA","Boxing","Men's 80kg","Cuba"
"Silver ","2024-08-10","Julia SZEREMETA","Boxing","Women's 57kg","Poland"
"Silver ","2024-07-29","HUH Mimi","Judo","Women -57 kg","Republic of Korea"
"Bronze ","2024-07-29","Sarah Leonie CYSIQUE","Judo","Women -57 kg","France"
"Gold ","2024-07-29","SHENG Lihao","Shooting","10m Air Rifle Men","People's Republic of China"
"Silver ","2024-07-29","Victor LINDGREN","Shooting","10m Air Rifle Men","Sweden"
"Bronze ","2024-07-29","Miran MARICIC","Shooting","10m Air Rifle Men","Croatia"
"Gold ","2024-07-29","BAN Hyojin","Shooting","10m Air Rifle Women","Republic of Korea"
"Silver ","2024-07-30","Bobby FINKE","Swimming","Men's 800m Freestyle","United States of America"
"Bronze ","2024-07-30","Gregorio PALTRINIERI","Swimming","Men's 800m Freestyle","Italy"
"Silver ","2024-08-05","Illia KOVTUN","Artistic Gymnastics","Men's Parallel Bars","Ukraine"
"Bronze ","2024-08-05","OKA Shinnosuke","Artistic Gymnastics","Men's Parallel Bars","Japan"
"Gold ","2024-08-05","Alice D'AMATO","Artistic Gymnastics","Women's Balance Beam","Italy"
"Silver ","2024-08-05","ZHOU Yaqin","Artistic Gymnastics","Women's Balance Beam","People's Republic of China"
"Bronze ","2024-08-05","Manila ESPOSITO","Artistic Gymnastics","Women's Balance Beam","Italy"
"Gold ","2024-08-11","Denmark","Handball","Men","Denmark"
"Bronze ","2024-07-29","FUNAKUBO Haruka","Judo","Women -57 kg","Japan"
