"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Silver ","2024-08-08","Moesha JOHNSON","Marathon Swimming","Women's 10km","Australia"
"Bronze ","2024-08-08","Ginevra TADDEUCCI","Marathon Swimming","Women's 10km","Italy"
"Bronze ","2024-08-07","Lena STOJKOVIC","Taekwondo","Women -49kg","Croatia"
"Silver ","2024-08-08","OKADA/YOSHIOKA","Sailing","Mixed Dinghy","Japan"
"Bronze ","2024-08-08","DAHLBERG/KARLSSON","Sailing","Mixed Dinghy","Sweden"
"Gold ","2024-08-08","TITA/BANTI","Sailing","Mixed Multihull","Italy"
"Silver ","2024-08-08","MAJDALANI/BOSCO","Sailing","Mixed Multihull","Argentina"
"Bronze ","2024-08-08","WILKINSON/DAWSON","Sailing","Mixed Multihull","New Zealand"
"Gold ","2024-08-08","Eleanor ALDRIDGE","Sailing","Women's Kite","Great Britain"
"Bronze ","2024-08-08","Annelous LAMMERTS","Sailing","Women's Kite","Netherlands"
"Gold ","2024-08-08","Veddriq LEONARDO","Sport Climbing","Men's Speed","Indonesia"
"Silver ","2024-08-08","WU Peng","Sport Climbing","Men's Speed","People's Republic of China"
"Bronze ","2024-08-08","Sam WATSON","Sport Climbing","Men's Speed","United States of America"
"Bronze ","2024-08-09","Netherlands","Cycling Track","Women's Madison","Netherlands"
"Gold ","2024-08-09","CHEN Yiwen","Diving","Women's 3m Springboard","People's Republic of China"
"Silver ","2024-08-09","Maddison KEENEY","Diving","Women's 3m Springboard","Australia"
"Bronze ","2024-08-09","CHANG Yani","Diving","Women's 3m Springboard","People's Republic of China"
"Silver ","2024-08-09","China","Hockey","Women","People's Republic of China"
"Gold ","2024-08-09","Kristof RASOVSZKY","Marathon Swimming","Men's 10km","Hungary"
"Silver ","2024-08-09","Oliver KLEMET","Marathon Swimming","Men's 10km","Germany"
"Bronze ","2024-08-09","David BETLEHEM","Marathon Swimming","Men's 10km","Hungary"
"Gold ","2024-08-09","Valentin BONTUS","Sailing","Men's Kite","Austria"
"Bronze ","2024-08-09","Maximilian MAEDER","Sailing","Men's Kite","Singapore"
"Gold ","2024-08-09","Toby ROBERTS","Sport Climbing","Men's Boulder & Lead","Great Britain"
"Silver ","2024-08-09","ANRAKU Sorato","Sport Climbing","Men's Boulder & Lead","Japan"
"Bronze ","2024-08-09","Jakob SCHUBERT","Sport Climbing","Men's Boulder & Lead","Austria"
"Gold ","2024-08-09","China","Table Tennis","Men's Team","People's Republic of China"
"Gold ","2024-08-09","Firas KATOUSSI","Taekwondo","Men -80kg","Tunisia"
"Silver ","2024-08-09","Mehran BARKHORDARI","Taekwondo","Men -80kg","Islamic Republic of Iran"
"Bronze ","2024-08-09","Simone ALESSIO","Taekwondo","Men -80kg","Italy"
"Bronze ","2024-08-09","Edi HRNIC","Taekwondo","Men -80kg","Denmark"
"Gold ","2024-08-09","Viviana MARTON","Taekwondo","Women -67kg","Hungary"
"Silver ","2024-08-09","Aleksandra PERISIC","Taekwondo","Women -67kg","Serbia"
"Bronze ","2024-08-09","Kristina TEACHOUT","Taekwondo","Women -67kg","United States of America"
"Bronze ","2024-08-09","Sarah CHAARI","Taekwondo","Women -67kg","Belgium"
"Bronze ","2024-08-09","United States","Volleyball","Men","United States of America"
"Gold ","2024-08-09","Karlos May NASAR","Weightlifting","Men's 89kg","Bulgaria"
"Silver ","2024-08-09","Yeison LOPEZ","Weightlifting","Men's 89kg","Colombia"
"Bronze ","2024-08-09","Antonino PIZZOLATO","Weightlifting","Men's 89kg","Italy"
"Gold ","2024-08-09","Olivia REEVES","Weightlifting","Women's 71kg","United States of America"
"Silver ","2024-08-09","Mari Leivis SANCHEZ","Weightlifting","Women's 71kg","Colombia"
"Bronze ","2024-08-09","France","Table Tennis","Men's Team","France"
"Bronze ","2024-08-09","Angie Paola PALACIOS DAJOMES","Weightlifting","Women's 71kg","Ecuador"
"Gold ","2024-08-09","HIGUCHI Rei","Wrestling","Men's Freestyle 57kg","Japan"
"Bronze ","2024-08-10","Grant FISHER","Athletics","Men's 5000m","United States of America"
"Gold ","2024-08-10","Emmanuel WANYONYI","Athletics","Men's 800m","Kenya"
"Bronze ","2024-08-10","Djamel SEDJATI","Athletics","Men's 800m","Algeria"
"Silver ","2024-08-10","Shelby McEWEN","Athletics","Men's High Jump","United States of America"
"Bronze ","2024-08-10","Mutaz Essa BARSHIM","Athletics","Men's High Jump","Qatar"
"Silver ","2024-08-10","Bashir ABDI","Athletics","Men's Marathon","Belgium"
"Bronze ","2024-08-10","Benson KIPRUTO","Athletics","Men's Marathon","Kenya"
"Gold ","2024-08-10","Masai RUSSELL","Athletics","Women's 100m Hurdles","United States of America"
"Silver ","2024-08-10","Cyrena SAMBA-MAYELA","Athletics","Women's 100m Hurdles","France"
"Bronze ","2024-08-10","Jasmine CAMACHO-QUINN","Athletics","Women's 100m Hurdles","Puerto Rico"
"Gold ","2024-08-10","Faith KIPYEGON","Athletics","Women's 1500m","Kenya"
"Silver ","2024-08-10","Jessica HULL","Athletics","Women's 1500m","Australia"
"Bronze ","2024-08-10","Georgia BELL","Athletics","Women's 1500m","Great Britain"
"Gold ","2024-08-10","United States","Athletics","Women's 4 x 400m Relay","United States of America"
"Silver ","2024-08-10","Netherlands","Athletics","Women's 4 x 400m Relay","Netherlands"
"Bronze ","2024-08-10","Great Britain","Athletics","Women's 4 x 400m Relay","Great Britain"
"Silver ","2024-08-10","Ayoub GHADFA DRISSI EL AISSAOUI","Boxing","Men's +92kg","Spain"
"Gold ","2024-08-10","Abdumalik KHALOKOV","Boxing","Men's 57kg","Uzbekistan"
"Silver ","2024-08-10","Munarbek SEIITBEK UULU","Boxing","Men's 57kg","Kyrgyzstan"
"Gold ","2024-08-10","LIN Yu Ting","Boxing","Women's 57kg","Chinese Taipei"
"Bronze ","2024-08-10","VICTOR","Breaking","B-Boys","United States of America"
"Gold ","2024-08-10","Josef DOSTAL","Canoe Sprint","Men's Kayak Single 1000m","Czechia"
"Silver ","2024-08-10","Adam VARGA","Canoe Sprint","Men's Kayak Single 1000m","Hungary"
"Gold ","2024-08-10","Katie VINCENT","Canoe Sprint","Women's Canoe Single 200m","Canada"
"Silver ","2024-08-10","Nevin HARRISON","Canoe Sprint","Women's Canoe Single 200m","United States of America"
"Bronze ","2024-08-10","Yarisleidis CIRILO DUBOYS","Canoe Sprint","Women's Canoe Single 200m","Cuba"
"Gold ","2024-08-10","Lisa CARRINGTON","Canoe Sprint","Women's Kayak Single 500m","New Zealand"
"Silver ","2024-08-10","Tamara CSIPES","Canoe Sprint","Women's Kayak Single 500m","Hungary"
"Bronze ","2024-08-10","Emma Aastrand JORGENSEN","Canoe Sprint","Women's Kayak Single 500m","Denmark"
"Silver ","2024-08-10","TAMAI Rikuto","Diving","Men's 10m Platform","Japan"
"Bronze ","2024-08-10","Noah WILLIAMS","Diving","Men's 10m Platform","Great Britain"
"Gold ","2024-08-10","United States","Football","Women","United States of America"
"Gold ","2024-08-10","Lydia KO","Golf","Women's Individual Stroke Play","New Zealand"
"Silver ","2024-08-10","Esther HENSELEIT","Golf","Women's Individual Stroke Play","Germany"
"Bronze ","2024-08-10","LIN Xiyu Janet","Golf","Women's Individual Stroke Play","People's Republic of China"
"Gold ","2024-08-10","Ahmed ELGENDY","Modern Pentathlon","Men's Individual","Egypt"
"Silver ","2024-08-10","SATO Taishu","Modern Pentathlon","Men's Individual","Japan"
"Bronze ","2024-08-10","Giorgio MALAN","Modern Pentathlon","Men's Individual","Italy"
"Gold ","2024-08-10","Janja GARNBRET","Sport Climbing","Women's Boulder & Lead","Slovenia"
"Bronze ","2024-08-10","Jessica PILZ","Sport Climbing","Women's Boulder & Lead","Austria"
"Gold ","2024-08-10","China","Table Tennis","Women's Team","People's Republic of China"
"Bronze ","2024-08-10","Korea","Table Tennis","Women's Team","Republic of Korea"
"Gold ","2024-08-10","Arian SALIMI","Taekwondo","Men +80kg","Islamic Republic of Iran"
"Silver ","2024-08-10","Caden CUNNINGHAM","Taekwondo","Men +80kg","Great Britain"
"Bronze ","2024-08-10","Cheick Sallah CISSE","Taekwondo","Men +80kg","Côte d'Ivoire"
"Gold ","2024-08-11","Jennifer VALENTE","Cycling Track","Women's Omnium","United States of America"
"Bronze ","2024-08-11","Ally WOLLASTON","Cycling Track","Women's Omnium","New Zealand"
"Gold ","2024-08-11","Ellesse ANDREWS","Cycling Track","Women's Sprint","New Zealand"
"Silver ","2024-08-11","Lea FRIEDRICH","Cycling Track","Women's Sprint","Germany"
"Bronze ","2024-08-11","Emma FINUCANE","Cycling Track","Women's Sprint","Great Britain"
"Gold ","2024-08-11","Michelle GULYAS","Modern Pentathlon","Women's Individual","Hungary"
"Silver ","2024-08-06","Josh KERR","Athletics","Men's 1500m","Great Britain"
"Bronze ","2024-08-06","Yared NUGUSE","Athletics","Men's 1500m","United States of America"
"Gold ","2024-08-06","Miltiadis TENTOGLOU","Athletics","Men's Long Jump","Greece"
"Bronze ","2024-08-03","Korea","Judo","Mixed Team","Republic of Korea"
"Silver ","2024-08-06","Wayne PINNOCK","Athletics","Men's Long Jump","Jamaica"
"Bronze ","2024-08-07","Line Flem HOEST","Sailing","Women's Dinghy","Norway"
"Gold ","2024-08-07","Keegan PALMER","Skateboarding","Men's Park","Australia"
"Gold ","2024-07-29","Tatjana SMITH","Swimming","Women's 100m Breaststroke","South Africa"
"Silver ","2024-07-29","TANG Qianting","Swimming","Women's 100m Breaststroke","People's Republic of China"
"Gold ","2024-07-29","Mollie O'CALLAGHAN","Swimming","Women's 200m Freestyle","Australia"
"Silver ","2024-07-29","Ariarne TITMUS","Swimming","Women's 200m Freestyle","Australia"
