"code","athlete_name","gender","country","nationality","birth_date"
"1967486","GARCIA Melique","Male","Honduras","Honduras","1992-06-18"
"1967497","CASSON Jenny","Female","Canada","Canada","1995-08-30"
"1967508","DENT Abby","Female","Canada","Canada","2002-03-04"
"1967511","GRUCHALLA-WESIERSKI Kasia","Female","Canada","Canada","1991-03-31"
"1967514","KIT Kristen","Female","Canada","Canada","1988-08-18"
"1967515","MESCHKULEIT Maya","Female","Canada","Canada","2001-07-28"
"1967516","MOFFATT Jill","Female","Canada","Canada","1993-02-09"
"1967517","PAYNE Sydney","Female","Canada","Canada","1997-09-16"
"1967522","SEVICK Jessica","Female","Canada","Canada","1989-07-15"
"1967528","WALKER Kristina","Female","Canada","Canada","1996-05-09"
"1967530","WASTENEYS Avalon","Female","Canada","Canada","1997-08-31"
"1967565","ANA VITORIA","Female","Brazil","Brazil","2000-03-06"
"1967567","ANGELINA","Female","Brazil","Brazil","2000-01-26"
"1967574","ADRIANA","Female","Brazil","Brazil","1996-11-17"
"1967575","ANTONIA","Female","Brazil","Brazil","1994-04-26"
"1967593","GABI PORTILHO","Female","Brazil","Brazil","1995-07-18"
"1967594","GABI NUNES","Female","Brazil","Brazil","1997-03-10"
"1967599","JHENIFFER","Female","Brazil","Brazil","2001-11-06"
"1967602","KEROLIN","Female","Brazil","Brazil","1999-11-17"
"1967606","LAUREN","Female","Brazil","Brazil","2002-09-13"
"1967607","LUCIANA","Female","Brazil","Brazil","1987-07-24"
"1967608","LORENA","Female","Brazil","Brazil","1997-05-06"
"1967612","LUDMILA","Female","Brazil","Brazil","1994-12-01"
"1967616","DUDA SAMPAIO","Female","Brazil","Brazil","2001-05-18"
"1967617","MARTA","Female","Brazil","Brazil","1986-02-19"
"1967623","PRISCILA","Female","Brazil","Brazil","2004-08-22"
"1967625","RAFAELLE","Female","Brazil","Brazil","1991-06-18"
"1967626","TAMIRES","Female","Brazil","Brazil","1987-10-10"
"1967628","THAIS","Female","Brazil","Brazil","1996-05-01"
"1967629","TARCIANE","Female","Brazil","Brazil","2003-05-27"
"1967630","TAINA","Female","Brazil","Brazil","1995-05-01"
"1967635","VITORIA YAYA","Female","Brazil","Brazil","2002-01-23"
"1967636","YASMIM","Female","Brazil","Brazil","1996-10-28"
"1967638","PEREZ PENA Andrea","Female","Ecuador","Ecuador","1990-04-07"
"1967691","DURANGO FLORES Diana","Female","Ecuador","Ecuador","1988-10-02"
"1967710","DHESI Amarveer","Male","Canada","Canada","1995-09-02"
"1967713","di STASIO Justina Renay","Female","Canada","Canada","1992-11-22"
"1967719","GODINEZ GONZALEZ Ana Paula","Female","Canada","Canada","1999-11-26"
"1967726","MOORE Alexander Robert","Male","Canada","Canada","1997-08-18"
"1967727","MORAIS Linda","Female","Canada","Canada","1993-07-31"
"1967740","TAYLOR Hannah Fay","Female","Canada","Canada","1998-04-30"
"1967750","TOMLJANOVIC Ajla","Female","Australia","Australia","1993-05-07"
"1967752","de MINAUR Alex","Male","Australia","Australia","1999-02-17"
"1967753","POPYRIN Alexei","Male","Australia","Australia","1999-08-05"
"1967757","SAVILLE Daria","Female","Australia","Australia","1994-03-05"
"1967758","PEREZ Ellen","Female","Australia","Australia","1995-10-10"
"1967762","PEERS John","Male","Australia","Australia","1988-07-25"
"1967767","EBDEN Matthew","Male","Australia","Australia","1987-11-26"
"1967770","GADECKI Olivia","Female","Australia","Australia","2002-04-24"
"1967772","HIJIKATA Rinky","Male","Australia","Australia","2001-02-23"
"1968003","DELGADO Anicka","Female","Ecuador","Ecuador","2002-06-13"
"1968005","SHAH Alexander","Male","Nepal","Nepal","2002-10-29"
"1968010","PERIBONIO AVILA Tomas","Male","Ecuador","Ecuador","1996-01-16"
"1968020","DAHAL Prince","Male","Nepal","Nepal","2004-02-08"
"1968035","SHABALINA Ekaterina","Female","Kazakhstan","Kazakhstan","1998-05-28"
"1968068","LIMA Bj Telefoni","Male","Samoa","Samoa","1999-07-23"
"1968081","PARRO Carlos","Male","Brazil","Italy","1979-06-05"
"1968090","MARCARI OLIVA Joao Victor","Male","Brazil","Brazil","1996-02-02"
"1968102","CARVALHO JORGE Marcio","Male","Brazil","Brazil","1975-01-28"
"1968108","VENISS Pedro","Male","Brazil","Brazil","1983-01-06"
"1968112","MAMPRIN LOSANO Rafael","Male","Brazil","Brazil","1997-10-10"
"1968115","PESSOA Rodrigo","Male","Brazil","Brazil","1972-11-29"
"1968116","FONSECA Ruy","Male","Brazil","Brazil","1973-06-09"
"1968118","de FREITAS BARCHA Stephan","Male","Brazil","Brazil","1989-10-27"
"1968125","MANSUR Yuri","Male","Brazil","Brazil","1979-05-24"
